rdIndex,pepper,egg,water,salt,oil,soy sauce,onion,sugar,cream,flour,pork,beef,fish,chicken,sheep,lamb,meat
346,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
347,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
348,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
349,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
350,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
351,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
352,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
353,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
354,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
355,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
358,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
359,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
360,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
361,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
362,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
363,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
364,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
365,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
366,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
368,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
371,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
372,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
373,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
374,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
375,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
376,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
377,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
